citation,sentence
5P.466/2000 18.01.2001 E. 6,"Weshalb hier bezüglich einzelner Ausführungen - mit Rücksicht auf speziell gelagerte Umstände oder Fragestellungen - etwas anderes gelten müsste, hat der Beschwerdeführer nicht dargetan (Art. 90 Abs. 1 lit. b OG)."
5P.466/2000 18.01.2001 E. 6,"Die Argumentation des Beschwerdeführers lässt nicht erkennen (Art. 90 Abs. 1 lit. b OG), inwiefern er diesen überschritten oder missbraucht haben sollte, wenn er angenommen hat, das Bestehen der gerichtlich festgestellten Arrestforderung sei sehr wahrscheinlich und der Kanton Schwyz genügend zahlungskräftig, um jederzeit einen allfälligen Schaden zu ersetzen für den Fall, dass sich der Arrest als ungerechtfertigt erweisen sollte (Art. 273 Abs. 1 SchKG)."
5P.466/2000 18.01.2001 E. 6,"Dennoch ist nicht von vornherein klar, inwiefern dadurch eine gültige Prosequierung erwirkt werden kann, selbst wenn diese grundsätzlich auch auf dem Klageweg bzw. - für öffentlichrechtliche Verpflichtungen - auf dem hierfür vorgesehenen Rechtsweg geschehen kann (Art. 279 Abs. 2 SchKG)."
5P.466/2000 18.01.2001 E. 6,"h) Begründet ist schliesslich auch der Einwand des Beschwerdeführers, der Rekurs gegen die Verfügung des Einzelrichters am Gerichtspräsidium See sei nicht aussichtslos, weil sich der Einzelrichter mit Bezug auf die Durchsetzbarkeit eines älteren Kaufrechts gegenüber dem späteren Arrestbeschlag über die bundesgerichtliche Praxis (BGE 102 III 20 ff. = Pra 65/1976 Nr. 166 S. 402) hinweggesetzt habe."
5P.466/2000 18.01.2001 E. 6,"Das Bundesgericht hat insbesondere auch festgehalten, ein gepfändetes Grundstück unterliege nach Ausübung eines älteren Kaufrechts nicht mehr der Pfändung, weshalb die Löschung der aufgrund der Pfändungen angeordneten Verfügungsbeschränkungen zu Recht in die Wege geleitet worden sei (BGE 102 III 20 E. 1 S. 23)."
5P.466/2000 18.01.2001 E. 6,"Weiter hat es ausgeführt, die Pfändung könne nur noch die Kaufpreisforderung des Eigentümers erfassen, nachdem das Grundstück infolge der Ausübung des Kaufrechts aus der Pfändung gefallen sei (BGE 102 III 20 E. 2 S. 24, am Anfang)."
2C_600/2009 13.10.2009 E. 4,"Aus ihnen ergibt sich - wie ausgeführt (vgl. E. 4.2) -, dass die Behauptung der Beschwerdeführer, ihnen könne keine Mitwirkungspflichtverletzung vorgeworfen werden, unzutreffend ist."
9C_104/2012 12.09.2012 E. 3,"In diesem Zusammenhang war der von ihr erwähnte beinahe strukturierte Tagesablauf nicht das einzige Element, das gegen ein krankheitswertiges depressives Geschehen sprach."
9C_104/2012 12.09.2012 E. 3,"Die darauf gestützte vorinstanzliche Feststellung, überwiegend wahrscheinlich habe nie über längere Zeit eine höhere Einschränkung der Arbeitsfähigkeit bestanden als die aus psychiatrischer Sicht um 20 % verminderte Leistungsfähigkeit (vorne E. 1), kann nicht als offensichtlich unrichtig bezeichnet werden (Art. 105 Abs. 1 und 2 BGG)."
5D_120/2018 E. 1,"des angefochtenen Entscheids klar und detailliert darzulegen ist, inwiefern verfassungsmässige Rechte verletzt worden sein sollen (BGE 133 II 396 E. 3.1 S. 399; 142 III 364 E. 2.4 S. 368)."
1B_640/2020 E. 4,Darauf kann gemäss Art. 109 Abs. 3 BGG verwiesen werden.
8C_925/2015 E. 1.1,"Gemäss Art. 42 Abs. 1 BGG ist die Beschwerde hinreichend zu begründen, andernfalls wird darauf nicht eingetreten (Art. 108 Abs. 1 lit. b BGG)."
8C_925/2015 E. 1.1,"Es kann die Verletzung von Grundrechten und von kantonalem und interkantonalem Recht nur insofern prüfen, als eine solche Rüge in der Beschwerde vorgebracht und begründet worden ist (Art. 106 Abs. 2 BGG)."
8C_750/2020 E. 1.1,"Immerhin prüft das Bundesgericht, unter Berücksichtigung der allgemeinen Pflicht zur Begründung der Beschwerde (Art. 42 Abs. 1 und 2 BGG), grundsätzlich nur die geltend gemachten Rügen, sofern die rechtlichen Mängel nicht geradezu offensichtlich sind (BGE 141 V 234 E. 1 mit Hinweisen)."
9C_113/2016 E. 1,zu neuer Entscheidung an die Vorinstanz zurückgewiesen.
9C_113/2016 E. 1,Im Übrigen wird die Beschwerde abgewiesen.
9C_518/2019 E. 1,"dass die Beschwerdeführer den angefochtenen Entscheid zwar als einseitig, unausgeglichen und nicht konsenswürdig bezeichnen, aber mit keinem weiteren Wort auf die vorinstanzlichen Erwägungen eingehen, dass ihrer Eingabe somit auch nicht ansatzweise entnommen werden kann, inwiefern die vorinstanzliche Beweiswürdigung und Sachverhaltsfeststellung im Sinne von Art. 97 Abs. 1 BGG auf einer Rechtsverletzung beruhen oder qualifiziert unzutreffend (unhaltbar, willkürlich: BGE 141 IV 369 E. 6.3 S. 375; 135 II 145 E. 8.1 S. 153) oder die darauf beruhenden Erwägungen rechtsfehlerhaft (vgl. Art. 95 BGG) sein sollen, dass deshalb im vereinfachten Verfahren nach Art. 108 Abs. 1 lit. b BGG auf die Beschwerde nicht einzutreten ist, dass in Anwendung von Art. 66 Abs. 1 Satz 2 BGG umständehalber auf die Erhebung von Gerichtskosten verzichtet wird"
5A_230/2010 29.03.2010 E. 1,"dass die Beschwerde nach Art. 72ff. BGG nebst einem Antrag eine Begründung zu enthalten hat, in welcher in gedrängter Form dargelegt wird, inwiefern der angefochtene Entscheid Recht (Art. 95f. BGG) verletzt (Art. 42 Abs. 1 und 2 BGG), ansonst auf die Beschwerde nicht eingetreten wird (Art. 108 Abs. 1 lit. b BGG)"
5A_230/2010 29.03.2010 E. 1,dass auch Verfassungsrügen in der Beschwerdeschrift vorzubringen und zu begründen sind (Art. 106 Abs. 2 BGG)
5A_230/2010 29.03.2010 E. 1,dass somit auf die - offensichtlich keine hinreichende Begründung enthaltende und überdies missbräuchliche - Beschwerde in Anwendung von Art. 108 Abs. 1 lit. b und c BGG nicht einzutreten ist
5A_230/2010 29.03.2010 E. 1,dass der unterliegende Beschwerdeführer kostenpflichtig wird (Art. 66 Abs. 1 BGG)
5A_230/2010 29.03.2010 E. 1,dass in den Fällen des Art. 108 Abs. 1 BGG das vereinfachte Verfahren zum Zuge kommt und die Abteilungspräsidentin zuständig ist
8C_646/2019 E. 2.1,"Immerhin prüft das Bundesgericht, unter Berücksichtigung der allgemeinen Pflicht zur Begründung der Beschwerde (Art. 42 Abs. 1 und 2 BGG), grundsätzlich nur die geltend gemachten Rügen, sofern die rechtlichen Mängel nicht geradezu offensichtlich sind (BGE 141 V 234 E. 1 S. 236 mit Hinweisen)."
H 141/01 08.07.2003 E. 2,Nach dem massgebenden Zeitpunkt des Entscheides über die Schadenersatzklage (hier: 19. Januar 2001) eingetretene Rechts- und Sachverhaltsänderungen haben unberücksichtigt zu bleiben.
6B_510/2022 E. 3.4,"Die Vorinstanz hält vielmehr ausdrücklich fest, D.________ sel. habe die Fotos im Wissen um das fehlende Einverständnis von C.________ gemacht und der Beschwerdeführer habe ihm dazu Auftrag gegeben."
6B_510/2022 E. 3.4,"Die Gründe, weshalb die Vorinstanz den Beschwerdeführer als Täter qualifiziert, erschliessen sich aus dem angefochtenen Urteil nicht (vgl. Art. 112 Abs. 1 lit. b BGG)."
8C_835/2012 29.11.2012 E. 1,dass deshalb auf die offensichtlich unzulässige Beschwerde - ohne Ansetzung einer Nachfrist zur Verbesserung (BGE 134 II 244 E. 2.4 S. 247) - in Anwendung von Art. 108 Abs. 1 lit. b BGG nicht eingetreten werden kann
8C_835/2012 29.11.2012 E. 1,"dass es sich bei den gegebenen Verhältnissen rechtfertigt, von der Erhebung von Gerichtskosten für das bundesgerichtliche Verfahren umständehalber abzusehen (Art. 66 Abs. 1 Satz 2 BGG)"
8C_835/2012 29.11.2012 E. 1,dass in den Fällen des Art. 108 Abs. 1 BGG das vereinfachte Verfahren zum Zuge kommt und der Abteilungspräsident zuständig ist
9C_396/2014 15.04.2015 E. 5.2,"Bereits 2002 entsprach es der Praxis, selbst bei faktischer Einhändigkeit zwar eine erheblich erschwerte Verwertbarkeit der Arbeitsfähigkeit anzunehmen, gleichwohl aber - sogar bei Versicherten, die ihre dominante Hand gesundheitlich bedingt nur sehr eingeschränkt (z.B. als unbelastete Zudienhand), einsetzen können -, einen hinreichend grossen Arbeitsmarkt mit realistischen Betätigungsmöglichkeiten zu unterstellen (Urteile des Eidg. Versicherungsgerichts I 113/00 vom 9. März 2001 E. 3a, I 369/00 vom 24. Juli 2002 E. 4; vgl. auch Urteile I 446/02 vom 20. März 2003 E. 3, I 742/03 vom 18. Mai 2004 E. 2, I 766/02 vom 7. Juni 2004 E. 2.2, I 797/05 vom 29. August 2006 E. 4.2 und I 685/05 vom 16. Mai 2006 E. 2; Urteile 9C_830/2007 vom 29. Juli 2008 E. 5.2, 8C_939/2011 vom 13. Februar 2012 E. 4.3, 8C_94/2012 vom 29. März 2012 E. 3.2 mit Hinweisen)."
9C_396/2014 15.04.2015 E. 5.2,"Die Annahme eines invalidisierenden organischen Gesundheitsschadens allein aufgrund der (weitgehenden) Gebrauchsunfähigkeit der linken, adominanten Hand, wäre somit auch nach der früheren Rechtslage offensichtlich unrichtig gewesen (vgl. hiezu das den Versicherten betreffende Urteil U 325/04 vom 1. April 2005 E. 2.2)."
5A_709/2020 E. 5,Auf sie ist im vereinfachten Verfahren durch das präsidierende Mitglied der Abteilung nicht einzutreten (Art. 108 Abs. 1 lit. b und c BGG).
4A_527/2017 E. 1,"des angefochtenen Entscheids dargelegt werden muss, inwiefern dieser Recht verletzt (Art. 42 Abs. 1 und 2 BGG; BGE 140 III 115 E. 2 S. 116, 86 E. 2 S. 89), wobei eine allfällige Verletzung von Grundrechten vom Bundesgericht nicht von Amtes wegen geprüft wird, sondern nur insofern, als eine solche Rüge in der Beschwerde vorgebracht und begründet worden ist (Art. 106 Abs. 2 BGG);"
4A_527/2017 E. 1,dass auf die Beschwerde im vereinfachten Verfahren gemäss Art. 108 Abs. 1 lit. b BGG nicht einzutreten ist;
4A_527/2017 E. 1,dass das Gesuch der Beschwerdeführerin um Gewährung der aufschiebenden Wirkung mit dem Entscheid in der Sache gegenstandslos wird;
4A_527/2017 E. 1,dass dem Gesuch der Beschwerdeführerin um unentgeltliche Rechtspflege für das bundesgerichtliche Verfahren zufolge Aussichtslosigkeit der Beschwerde nicht entsprochen werden kann (siehe Art. 64 Abs. 1 BGG);
4A_527/2017 E. 1,dass bei diesem Ausgang des Verfahrens die Gerichtskosten gemäss Art. 66 Abs. 1 BGG der Beschwerdeführerin aufzuerlegen sind;
6B_69/2012 14.09.2012 E. 2.2,"Hingegen geht die Vorinstanz methodisch nicht korrekt vor, indem sie den ordentlichen Strafrahmen, ausgehend vom schwersten Delikt des Raubs, aufgrund der mehreren Taten in Anwendung von Art. 49 Abs. 1 StGB auf 15 Jahre erweitert."
6B_69/2012 14.09.2012 E. 2.2,Die tat- und täterangemessene Strafe ist grundsätzlich innerhalb des ordentlichen Strafrahmens der (schwersten) anzuwendenden Strafbestimmung festzusetzen.
6B_69/2012 14.09.2012 E. 2.2,Dieser wird durch Strafschärfungs- oder Strafmilderungsgründe nicht automatisch erweitert.
6B_69/2012 14.09.2012 E. 2.2,"Vielmehr ist der ordentliche Strafrahmen nur zu verlassen, wenn aussergewöhnliche Umstände vorliegen und die für die betreffende Tat angedrohte Strafe im konkreten Fall zu hart bzw. zu milde erscheint (BGE 136 IV 55 E. 5.8 S. 63 mit Hinweisen)."
6B_1145/2017 E. 2,der Vorinstanz auseinandersetzen (z.B. Beschluss S. 4 E. 3.2) und auch damit den Begründungsanforderungen nicht genügen (Art. 42 Abs. 2 Satz 1 BGG; BGE 136 I 65 E. 1.3.1 mit Hinweisen; 134 II 244 E. 2.1).
6B_460/2019 E. 2.4,"Nach dem Gesagten wäre zu klären, ob bezüglich des Darlehens eine Rückzahlungs- sowie eine Zinszahlungspflicht besteht."
6B_460/2019 E. 2.4,"Ist dies der Fall, kann nicht ausgeschlossen werden, dass seitens der Beschwerdeführerin tatsächlich ein (unmittelbarer) Schaden entstanden ist (zum Begriff des Vermögensschadens BGE 142 IV 346 E. 3.2 S. 350; 129 IV 124 E. 3.1 S. 125 f.; je mit Hinweisen)."
8C_152/2024 E. 5.2.4,zu befassen (vgl. dazu BGE 144 V 50 E. 4.2 mit Hinweis).
4A_134/2022 E. 2.1,"Das Bundesgericht prüft eine solche Rüge nur insofern, als sie in der Beschwerde präzise vorgebracht und begründet worden ist (Art. 106 Abs. 2 BGG; BGE 142 I 99 E. 1.7.2; mit Hinweis)."
4A_134/2022 E. 2.1,"Soweit die Beschwerdeschrift diesen Begründungsanforderungen nicht genügt, ist darauf nicht einzutreten (BGE 142 I 99 E. 1.7.2; 140 III 115 E. 2; 136 I 65 E. 1.3.1)."
2C_1058/2014 E. 2,"Das Bundesgericht legt seinem Urteil den Sachverhalt zugrunde, den die Vorinstanz festgestellt hat (Art. 105 Abs. 1 BGG)."
2C_1058/2014 E. 2,"Es kann die tatsächlichen Feststellungen der Vorinstanz nur berichtigen oder ergänzen, soweit sie offensichtlich unrichtig, das heisst willkürlich sind oder auf einer Rechtsverletzung im Sinne von Art. 95 BGG beruhen (Art. 105 Abs. 2 BGG)."
2C_1058/2014 E. 2,"Zudem muss die Behebung des Mangels für den Ausgang des Verfahrens entscheidend sein, was in der Beschwerde klar und substanziiert aufzuzeigen ist (Art. 97 Abs. 1 BGG; BGE 140 III 16 E. 1.3.1 S. 17 f.; 140 IV 97 E. 1.4.1 S. 100)."
4A_138/2021 06.08.2021 E. 8.2,"Die Begründung muss kurz die Überlegungen nennen, von denen sich das Gericht hat leiten lassen und auf die sich sein Entscheid stützt (BGE 143 III 65 E. 5.2; 142 III 433 E. 4.3.2; 141 III 28 E. 3.2.4)."
4A_138/2021 06.08.2021 E. 8.2,"Art. 2 Abs. 2 ZGB dient aber lediglich als korrigierender Notbehelf für die Fälle, in denen formales Recht zu materiell krassem Unrecht führen würde. Rechtsmissbrauch ist restriktiv anzunehmen (BGE 143 III 666 E. 4.2 mit Hinweisen)."
4A_160/2013 E. 5.1.2,"als unbestritten erachtet, dass ein unmittelbares Erzeugnis auch dann vorliegt, wenn mehrere Verfahren zur Herstellung des Produkts angewendet werden und das geschützte Verfahren einen wesentlichen Teil der Gesamtbearbeitung darstellt; entsprechend wird bei Anwendung mehrerer geschützter Verfahren das Produkt als unmittelbares Erzeugnis eines jeden Verfahrens betrachtet, das zur Herstellung wesentlich mitgewirkt hat (vgl. Werner Stieger, in: Bertschinger und andere [Hrsg.], Schweizerisches und europäisches Patentrecht, 2002, Rz. 11.120)."
4A_160/2013 E. 5.1.2,"Abgesehen davon lässt sich der dem bundesgerichtlichen Urteil zugrunde liegende Sachverhalt nicht ohne Weiteres mit dem vorliegenden vergleichen: Insbesondere war darin auf Grundlage von pharmazeutisch-chemischen bzw. medizinischen Gutachten festgestellt, dass der patentierte Wirkstoff nicht ausschlaggebend für das Wesen des Endprodukts war und die Wirkung des Endprodukts sowohl als Desinfektionsmittel wie als Vorbeugungsmittel gegen Geschlechtskrankheiten und als Empfängnisverhütungsmittel gerade nicht auf dem mit dem patentierten Verfahren hergestellten Stoff beruhte, sondern auf den zugesetzten Antiseptika (BGE 70 I 194 E. 8)."
8C_901/2009 14.06.2010 E. 1,"Das Bundesgericht beurteilt indessen grundsätzlich nur die geltend gemachten Rügen; es ist nicht gehalten, wie eine erstinstanzliche Behörde alle sich stellenden rechtlichen Fragen zu prüfen, wenn diese vor Bundesgericht nicht mehr vorgetragen wurden."
8C_901/2009 14.06.2010 E. 1,"Es kann die Verletzung von Grundrechten und von kantonalem und interkantonalem Recht nur insofern prüfen, als eine solche Rüge in der Beschwerde vorgebracht und begründet worden ist (Art. 106 Abs. 2 BGG)."
8C_901/2009 14.06.2010 E. 1,Im Beschwerdeverfahren um die Zusprechung oder Verweigerung von Geldleistungen der Militär- oder Unfallversicherung ist das Bundesgericht nicht an die vorinstanzliche Feststellung des rechtserheblichen Sachverhalts gebunden (Art. 97 Abs. 2 und Art. 105 Abs. 3 BGG).
8C_264/2023 E. 1,"einzugehen und im Einzelnen zu zeigen, welche Vorschriften von der Vorinstanz weshalb verletzt worden sind (BGE 134 V 53 E. 3.3 und 133 IV 286 E. 1.4)."
8C_264/2023 E. 1,"Die blosse Wiedergabe der eigenen Sichtweise oder einfach zu behaupten, der angefochtene Gerichtsentscheid sei falsch, genügt nicht (vgl. zur unzulässigen appellatorischen Kritik: BGE 148 IV 205 E. 2.6; 144 V 50 E. 4.2; 137 V 57 E. 1.3 und 136 I 65 E. 1.3.1)."
4A_154/2019 E. 1,dass damit auf die Beschwerde in Anwendung von Art. 108 Abs. 1 lit. a und b BGG nicht eingetreten werden kann;
4A_154/2019 E. 1,dass unter den gegebenen Umständen ausnahmsweise auf die Erhebung von Gerichtskosten zu verzichten ist (Art. 66 Abs. 1 zweiter Satz BGG);
4A_154/2019 E. 1,"dass die Beschwerdegegner keinen Anspruch auf eine Parteientschädigung haben, da ihnen aus dem bundesgerichtlichen Verfahren kein Aufwand erwachsen ist (Art. 68 Abs. 2 BGG);"
